"unit__commodity__direction";"unit";"commodity";"direction";"74FI_CoalCHP";"Elec";"to_node";"vom_cost";3.143103448
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_CoalCHP";"Elec";"to_node";"vom_cost";3.143103448
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Heat_CoalHeat";"Heat";"to_node";"vom_cost";3.413929040
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_Heat_CoalHeat";"Heat";"to_node";"vom_cost";3.413929040
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Oil";"Elec";"to_node";"vom_cost";3.300000000
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_Oil";"Elec";"to_node";"vom_cost";3.300000000
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_OilCHP";"Elec";"to_node";"vom_cost";3.178545791
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_OilCHP";"Elec";"to_node";"vom_cost";3.178545791
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_Heat_OilHeat";"Heat";"to_node";"vom_cost";2.987912087
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Heat_OilHeat";"Heat";"to_node";"vom_cost";2.987912087
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_HydroRoR";"Elec";"to_node";"vom_cost";0.200000000
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_HydroRoR";"Elec";"to_node";"vom_cost";0.200000000
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_HydroReservoir";"Elec";"to_node";"vom_cost";0.100000000
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_HydroReservoir";"Elec";"to_node";"vom_cost";0.100000000
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_ElectricHeat";"Elec";"from_node";"vom_cost";1.809000000
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_ElectricHeat";"Elec";"from_node";"vom_cost";1.809000000
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Biomass1CHP";"Heat";"to_node";"vom_cost";1.537686080
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_Biomass1CHP";"Heat";"to_node";"vom_cost";1.537686080
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Biomass2CHP";"Heat";"to_node";"vom_cost";1.808743604
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_Biomass2CHP";"Heat";"to_node";"vom_cost";1.808743604
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_GasCHP";"Heat";"to_node";"vom_cost";1.756337500
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_GasCHP";"Heat";"to_node";"vom_cost";1.756337500
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_CoalCHP";"Heat";"to_node";"vom_cost";3.143103448
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_CoalCHP";"Heat";"to_node";"vom_cost";3.143103448
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_OilCHP";"Heat";"to_node";"vom_cost";3.178545791
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_OilCHP";"Heat";"to_node";"vom_cost";3.178545791
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_Dummy";"Elec";"to_node";"vom_cost";1000.000000000
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_Heat_Dummy";"Heat";"to_node";"vom_cost";1000.000000000
